Projet,Image,Promoteur,Description,Pays
ITRANS,https://cdn.fs.agorize.com/b2Ri3sICRTG79GSzIny9/convert?crop_first=true&fit=crop&h=140&w=300,"Djibril Sagna","ITRANS  est un système de gestion des paiements 100% automatisée dans les transports en commun. Elle permet d’organiser la perception des recettes et de contrôler le flux des passagers en temps réel.",Sénégal
JUMOENERGIE,https://cdn.fs.agorize.com/U1RW1nm1SgG67vyLJ385/convert?crop_first=true&fit=crop&h=140&w=300,"Assane Diop","JUMOENERGIE intervient dans le domaine de l'éclairage public des communes.",Sénégal
"Karara G services ( K G S)",https://startupper.totalenergies.com/team-avatar-6.jpg,"Badara Gueye","KGS est une PME qui s'active sur la second oeuvre de l'immobilier comme la peinture l'installation électrique le nettoyage câblage réseaux maintenance informatique agence immobilier bureautique",Sénégal
"Khalil pro",https://startupper.totalenergies.com/team-avatar-5.jpg,"Ibrahima Diop","Khalil Pro est une agence audiovisuelle spécialisée dans la création de contenus graphique, photo et vidéo pour les entreprises, les organismes internationaux et les marques.",Sénégal
"Laboratoire de développement.",https://cdn.fs.agorize.com/6LVPL6vVTIqRO0vFH9iq/convert?crop_first=true&fit=crop&h=140&w=300,"Jeannot Diatta","Laboratoire du Développement (Labdev) en partie est une plateforme digitale qui apporte des solutions innovantes sur les enjeux liés au développement et offre des formations sur le numérique.",Sénégal
Lagroshop,https://cdn.fs.agorize.com/J2A7WyTo7AgfDvyYGXQm/convert?crop_first=true&fit=crop&h=140&w=300,"Mamadou junior Kone","LAGROSHOP EST UNE PLATEFORME NUMÉRIQUE D’INFORMATION ET DE MISE EN RELATION DES ACTEURS DU MILIEU AGRICOLE.",Sénégal
"La main de maman",https://cdn.fs.agorize.com/bFp2tH9GQAmfbPakdR7L/convert?crop_first=true&fit=crop&h=140&w=300,"Ramatoulaye Samba","La main de maman est une entreprise qui évolue dans la transformation et commercialisation de produits bois .pour une première nous avons lancé la main de Arame qui sont des produits cuits au vapeurs",Sénégal
"Les Ateliers de la Filature",https://cdn.fs.agorize.com/YAqQbkaSkmiEKY8BtGOw/convert?crop_first=true&fit=crop&h=140&w=300,"Fatoumata Soumare","Créer la chaine de valeur textile artisanal solidaire 100% sénégalais. Du champ de coton au produit fini, nous valorisons le travail de chaque acteur avec une traçabilité totale.",Sénégal
LinkOn-AGR,https://startupper.totalenergies.com/team-avatar-5.jpg,"Mame diarra bousso Gaye","LinkOn-AGR permet l’accès à l’eau potable et le développement d’activités génératrices de revenus (AGR) des femmes rurales avec une énergie non consommée et des équipements intelligents.",Sénégal
MBAYMI,https://cdn.fs.agorize.com/NSDPgPRlQCqC9fLxbp5b/convert?crop_first=true&fit=crop&h=140&w=300,"El hadji ousseynou Djite","“MBAYMI” est un projet qui intervient avec pragmatisme, sur toute la chaîne de valeur. En vue de donner une nouvelle image au secteur agricole.",Sénégal
"Microscope robotisé",https://cdn.fs.agorize.com/ehou7hiTpGUuEdUAlEcf/convert?crop_first=true&fit=crop&h=140&w=300,"Mamoudou Mbengue","Le microscope robotique est un produit visant à rendre plus accessible la recherche, l’étude environnementale et l’analyse médicale à des coûts surprenantes.",Sénégal
MissWeek,https://cdn.fs.agorize.com/1awoGtqhR1kR4J2XUPi4/convert?crop_first=true&fit=crop&h=140&w=300,"Mouhamed Mbodji","MissWeek est une application mobile multiplateforme destinée aux sénégalais. Elle a pour but de faciliter l’organisation et la gestion de tout concours se basant sur des photos et/ou vidéos.",Sénégal
"Mondial Multi-Service Contact",https://cdn.fs.agorize.com/IzNBE0STRoCFQGsrRkXa/convert?crop_first=true&fit=crop&h=140&w=300,"Madiodio Ndiaye","Figurent dans notre catalogue les setvices de transferts d'argent,la télévente, la prise de rendez-vous, la réservation, le SAV, la , la saisie de données.",Sénégal
Naakamou,https://cdn.fs.agorize.com/yVnokxZjSlGAaNpsbRni/convert?crop_first=true&fit=crop&h=140&w=300,"Ousmane Gueye","Naakamou est un réseau social qui permet aux jeunes de se retrouver facilement entre amis pour discuter, échanger et faire des activités ensemble.",Sénégal
"NAIH SARL",https://startupper.totalenergies.com/team-avatar-2.jpg,"Amadou oury Dieng","New Africa Investment and Holding , est une SARL immatriculée au registre de commerce de Dakar et qui intervient principalement dans la Gestion de projet d'investissement à destination du Sénégal...",Sénégal
Ndimbal,https://cdn.fs.agorize.com/i1POjKH4RBOsoDz77Xdn/convert?crop_first=true&fit=crop&h=140&w=300,"Cheikh ahmed tidiane Ndiaye","Ndimbal : est un projet qui consiste à commercialiser et à encadrer les producteurs pour l’utilisation des hydro-rétenteur pour réduire jusqu'a 80% les pertes d'eau.",Sénégal
NJUREEL,https://cdn.fs.agorize.com/6pDOlRvzQlW9PtjKUfkD/convert?crop_first=true&fit=crop&h=140&w=300,"Awa Ndiaye","Notre solution est un service de téleassistance instantanée dédié a la prise en charge psychologique et médicale des femmes et adolescentes par un réseau de 200 médecins et spécialistes.",Sénégal
"NOOR EBENE",https://startupper.totalenergies.com/team-avatar-2.jpg,"Marguerite Dia","Noor'Ebène est une entreprise spécialisée dans la production et la distribution de produits d'origine naturelle et biologique à usage cosmétique, mais aussi pour la santé et le bien-être.",Sénégal
Ovavitech,https://cdn.fs.agorize.com/v1ghIVDESK2bXPGIe7MP/convert?crop_first=true&fit=crop&h=140&w=300,"Serigne abdou khadre Fall","Ovavitech est une unité de fabrication d’incubateurs à œufs automatiques électriques et solaires très innovantes.",Sénégal
Perfect,https://cdn.fs.agorize.com/WrOpSZTNQQSV5YZFoZww/convert?crop_first=true&fit=crop&h=140&w=300,"Maréme Sarr","Perfect est une agence de communication digitale qui vise à aider les jeunes entrepreneurs à avoir une meilleure assise digitale, nous visons à former aussi les jeunes dans le domaine du numérique.",Sénégal
PRODEM,https://cdn.fs.agorize.com/U8Pp2GgfQb64iTIQTOqD/convert?crop_first=true&fit=crop&h=140&w=300,"Cheikh ahmed tidiane Deme","PRODEM, une startup qui valorise les déchets alimentaires animaux et végétaux issus des entreprises agroalimentaires, des restaurants, des hôtels et des ménages de la région de Dakar en biochar.",Sénégal
"Production de papaye Solo",https://cdn.fs.agorize.com/9iD2gyuRwmUnaKEM0VMC/convert?crop_first=true&fit=crop&h=140&w=300,"Dany rufin Ndecky","De son nom scientifique carica papaye, de la famille des caricaceae, le papayer à un potentiel agricol de haute valeur ajoutée. Mon objectif est de répandre la production du papaye au Sénégal.",Sénégal
"Rak Tak express",https://cdn.fs.agorize.com/zQ8ODs3S2iiZ4cbapWBI/convert?crop_first=true&fit=crop&h=140&w=300,"Elhadji abdoulaye Dieye","RAKTAK Express est une application de livraison et de mise en relation entre les utilisateurs et les prestataires de services afin de faciliter les déplacements des personnes et des biens.",Sénégal
"Ramatoo Road Show",https://cdn.fs.agorize.com/OUVmRkfTp64HsBConaRg/convert?crop_first=true&fit=crop&h=140&w=300,"Awa Sadio","Ramatoo Road Show est une caravane de coaching qui va sillonner les 14 régions et 45 département du Sénégal avec la possibilité de customiser les véhicules pour des campagne publicitaires.",Sénégal
"Sama Cassava Peels Use (SCPU)",https://cdn.fs.agorize.com/WW9YiqEzThuZflrUTrqm/convert?crop_first=true&fit=crop&h=140&w=300,"Mamadou Sow","Notre structure transforme les tubercules du manioc de façon appropriée en Gari, Tapioca, Amidon et Farine mais aussi les épluchures en alimentation animale ensuite les vend à des prix abordables.",Sénégal
SamaKiosque,https://cdn.fs.agorize.com/guiwuFL3RwCfkXTS49CR/convert?crop_first=true&fit=crop&h=140&w=300,"Thierno mountaga Dia","Notre projet (SamaKiosque ou kiosque) consiste en la mise en place d’une plate-forme en ligne qui regroupe la quasi-totalités de toutes les quotidiens écrites des différents groupes de presse.",Sénégal
"Samalook studio",https://cdn.fs.agorize.com/cC2WJ1NzRZiIFE8sPaiT/convert?crop_first=true&fit=crop&h=140&w=300,"El hadji mactar Seck","Samalook studio est une société de production audiovisuelle, de marketing et de communication digitale qui a pour but d'accompagner les pme, pmi et les organisations dans leurs communication.",Sénégal
"Sama toll",https://cdn.fs.agorize.com/Zx36Ly90RAqfABqWkMZC/convert?crop_first=true&fit=crop&h=140&w=300,"Fily mady Cissokho","Sama toll met en place un système de commercialisation innovant, rentable et durable pour les producteurs et les consommateurs. La solution est de mettre en place des kiosques de proximité.",Sénégal
"Secret de Mon Thé",https://cdn.fs.agorize.com/SSzchA4iQzllkIn7sn3h/convert?crop_first=true&fit=crop&h=140&w=300,"Mbombé Kane","Transformation de plantes (nana,gingembre citronnelle etc) en infusion sous format vrqc et infusette",Sénégal
"Secret de mon thé",https://cdn.fs.agorize.com/yMhwVh1GSqSAyXnYiLKa/convert?crop_first=true&fit=crop&h=140&w=300,"Awa Fall","Transformation de plantes aromatiques 100% NATUREL ( nana, citronnelle, basilic, glou de girofle ) en infusion sous format vrac et sous format Infusettes facilitant la digestion.",Sénégal
"SECURITE EN TOUT ET POUR TOUS",https://cdn.fs.agorize.com/f2V6exKyS5d2fUljcnbL/convert?crop_first=true&fit=crop&h=140&w=300,"Youssoupha Ndiaye","NAZAFAR SECURITE suarl, s'engage à lutter contre le chaumage accroissant ainsi qu'à l'insécurité notoire qui commence à prendre de l'ampleur",Sénégal
"SEE Magazine",https://cdn.fs.agorize.com/qxR7PRnERROOm5laWQjx/convert?crop_first=true&fit=crop&h=140&w=300,"Fanta Camara","Senegalese Earth and Environment Magazine en abrégé SEE Mag est le 1er magazine sénégalais relayant les informations relatives à la Terre et à l’environnement. Un magazine né pour la durabilité.",Sénégal
Senbassil,https://cdn.fs.agorize.com/h2NiJFDLTEWI24QFooqh/convert?crop_first=true&fit=crop&h=140&w=300,"Ndeye arame Diom","Senbassil :une entreprise agro-alimentaires nous sommes dans le secteur de la transformation et de la commercialisation des produits locaux tels que les céréales, les jus, les confitures et sirops",Sénégal
"SEN CHEF",https://cdn.fs.agorize.com/J9ZQMs1ITimJoV5obcB6/convert?crop_first=true&fit=crop&h=140&w=300,"Ibrahima Ba","SEN CHEF est un concours culinaire et gastronomique panafricain sa mission principale consiste à propulser la création et le partage de recettes Afro fusion à base des produits locaux Africain.",Sénégal
"Sènégal bouteille plastique",https://cdn.fs.agorize.com/0RvqWN7TOGW8dt9FJXpw/convert?crop_first=true&fit=crop&h=140&w=300,"Bassirou Ndiaye","Le projet vise à implanter une unité industrielle pour produire des contenants en plastique : bouteilles et bouchons pour eau, jus, produits alimentaires",Sénégal
"Senegal Game",https://cdn.fs.agorize.com/W6RjmuDuSmaL4vykoFne/convert?crop_first=true&fit=crop&h=140&w=300,"Mamadou jean baptiste Niassy","Senegal Game est une plateforme de jeux video educatifs made in Senegal disponible sur smartphone Google Play et web.",Sénégal
Sen'Fourrage,https://cdn.fs.agorize.com/55CBWY9FRqa39nZc72a2/convert?crop_first=true&fit=crop&h=140&w=300,"Mohamed Kamara","TAG4 est un dispositif de culture fourragère “hors sol"" qui permet à l’éleveur, ne disposant ni terre ni eau suffisante, de produire du fourrage frais et nutritif pour son bétail 12 mois sur 12.",Sénégal
"SET (Sen Eco Tech)",https://cdn.fs.agorize.com/VoP4x42bR5uFOYqpcJJV/convert?crop_first=true&fit=crop&h=140&w=300,"Momar Thiam","Notre projet Sen Eco Tech( SET) est d’entreprise de commercialisation d’un produit écologique qui contribuera à réduire les fumées des véhicules et augmente la rentabilité des moteurs .",Sénégal
"Smart Weather",https://cdn.fs.agorize.com/1AMexnA8THWFhlKS7gHf/convert?crop_first=true&fit=crop&h=140&w=300,"Penda Fall","Smart wheather s’active dans le but d’améliorer notre environnement en concevant des produits innovants, capables de répondre aux besoins de l’environnement et des utilisateurs. Nous avons créé baj3n.",Sénégal
"SN Energy",https://cdn.fs.agorize.com/gdFnQ1CLSaCB13ns3RHH/convert?crop_first=true&fit=crop&h=140&w=300,"Ibrahima Syll","il s'agit de développer et de mettre en location-vente des kits solaires connectés avec un système de paiement par téléphonie mobile et un système de suivi technique à distance dans les zones rurales.",Sénégal
Soxnasi,https://cdn.fs.agorize.com/7Usnn9ATl2UO3MMxXfAw/convert?crop_first=true&fit=crop&h=140&w=300,"Sokhna Ndiaye","Soxnasi est une entreprise sénégalaise spécialisée dans la maroquinerie de luxe utilitaire qui envisage de créer un concept store pour les débutants en manque de visibilité.",Sénégal
"SUNU CÉRÉALES",https://cdn.fs.agorize.com/hTTfhKJlTyaEmzvVzNRw/convert?crop_first=true&fit=crop&h=140&w=300,"Abdallah Ndiaye","SUNU CÉRÉALES est un gamme de produits céréaliers du Sénégal. De la production en passant par la transformation,Sunu Céréales a pour objectif de valoriser la production locale . Nourrir le Sénégal !",Sénégal
SunuPanel,https://cdn.fs.agorize.com/QlaYlOYS1mNlzjimk5xt/convert?crop_first=true&fit=crop&h=140&w=300,"Manya Aidara","Sunu Panel est un outil d'étude de marché en ligne qui met à votre disposition des outils d'études de projets axés sur 3 types d'offres essentielles.",Sénégal
TAAR,https://cdn.fs.agorize.com/d4HR7IXwRxWMThr6Fvei/convert?crop_first=true&fit=crop&h=140&w=300,"Faraba Cissokho","TAAR est un marque de vêtements prêt à porter avec les tissus africain et confectionne des uniformes scolaires et de travailleurs industriel.",Sénégal
"The Uptribe",https://startupper.totalenergies.com/team-avatar-5.jpg,"Mariama Ndiaye","Up’Finance est un portail de E-learning qui permet aux particuliers d’avoir accès à des cours et des cas pratiques interactifs, inspirés de la vie réelle afin d’améliorer leur situation financière.",Sénégal
"Thies Innovation Center",https://cdn.fs.agorize.com/SML66AqQ9y18xrH9jLL3/convert?crop_first=true&fit=crop&h=140&w=300,"Ndongo Fall","Thies Innovation Center Electronique est une plateforme de vente en ligne qui vous offre une large gamme de toutes sortes produites électroniques.",Sénégal
"TINA-TINA Group",https://cdn.fs.agorize.com/7c2fGu39SJWNxvr9Y9JO/convert?crop_first=true&fit=crop&h=140&w=300,"Mamadou aliou Ba","TINA TINA est un réseau de transfert d'argent de Dakar à Conakry ou de Conakry vers Dakar. Aujourd'hui étant une entreprise jeune, notre objectif est de devenir une entreprise internationale.",Sénégal
"TOUMY PRODUCTION",https://cdn.fs.agorize.com/ZZD2EbdRVq9Nor5MAbXk/convert?crop_first=true&fit=crop&h=140&w=300,"Toumany Badiane","L’idée du projet m’ait venu à l’arrivée du Covid19 avec toutes les restrictions mises en place par l’état. En partant du mot propreté, j’ai décidé de crée une gamme de produits détergent.",Sénégal
"Transport des marchandises",https://startupper.totalenergies.com/team-avatar-5.jpg,"Moussa Boiro","Transport routier et logistique des personnes et des marchandises (fruits et légumes...)",Sénégal
"Une famille, énergie solaire",https://cdn.fs.agorize.com/rhP153DyToBAPLCFcPmW/convert?crop_first=true&fit=crop&h=140&w=300,"Bassirou Ndiaye","Il s’agit une PME dans le domaine de l’énergie solaire précisément la vente , conseil et installation mais qui va être un porteur d’autres projets comme des kits connexions alimentées par le solaire.",Sénégal
"WELIA FARM",https://cdn.fs.agorize.com/ahGVyvreRcOCNmsFvFku/convert?crop_first=true&fit=crop&h=140&w=300,"Ouleymatou Diallo","WELIA FARM est une entreprise qui vise à combiner la pisciculture, l'aviculture et l'agriculture en vu d'obtenir des produits sains et durable.",Sénégal
"Wonders of africa",https://cdn.fs.agorize.com/vms0PUjaSqWqQiS7sI1W/convert?crop_first=true&fit=crop&h=140&w=300,"Mareme Cissoko","Mon projet se nomme Wonders of africa. Comme son nom l'indique les merveilles de l'Afrique a pour but de revaloriser les produits naturels pour la santé et le bien être corporelle chez la femme.",Sénégal
"Wooma service",https://startupper.totalenergies.com/team-avatar-10.jpg,"Aminata Correa","Wooma service est une entreprise de service client / centre d'appels qui aide les startups et PME a trouver des clients et a mieux les gerer. Nous faisons de la prospection....",Sénégal
"World Meet Senegal",https://cdn.fs.agorize.com/PppmaEheQ9etMG8BLM3Z/convert?crop_first=true&fit=crop&h=140&w=300,"Ibrahima Sy","WORLD MEET SÉNÉGAL est l’expression d’un Sénégal revalorisé sur le plan culturel, touristique et historique. Nous voulons promouvoir l’image économique et l’attractivité de la destination Sénégal.",Sénégal
Wutilma,https://cdn.fs.agorize.com/9DwVDMTaeSlAXQddtVLQ/convert?crop_first=true&fit=crop&h=140&w=300,"Serigne Diouf","Wutilma is web and mobile applications using AI and the latest technologies to provide home and business services. Wutilma offers Wutilma app for clients and Wutilma Pro for professionals.",Sénégal
"1695 Designs",https://startupper.totalenergies.com/team-avatar-1.jpg,"Oluwatomisin Fasola","Building African Furniture, we would design and building furniture that’s speaks Africa for African and the world at large.",Nigeria
"Aadana Solution",https://startupper.totalenergies.com/team-avatar-9.jpg,"David thomas John","Aadana is a solar powered smart storage system which has the ability to control and regulate the temperature and humidity in the system and send notification to users if decay is detected.",Nigeria
"Abisal Foods",https://cdn.fs.agorize.com/46UVA3tDSBe8QwsHzp5C/convert?crop_first=true&fit=crop&h=140&w=300,"Dauda Saidat","Abisal Foods is an indigenous company, ventured into producing various processed foods,Vitamin A maize flour, Guinea corn Millet flour, Plantain flour, Rice flour and cassava flour.",Nigeria
"Abubakar AUAgro and General Se",https://cdn.fs.agorize.com/OkYcfPcRFWOOsQCMe0UZ/convert?crop_first=true&fit=crop&h=140&w=300,"Abubakar Abubakar usman","In Abubakar AUAgro and General Services is a farms that contain five different groups Rice, Wheat, pepper,Maize, and Green beans the farm located in Kano and Jigawa state Nigeria we farm raining & dry",Nigeria
"ABU-MUNIRAT AFRIC STITCHES",https://cdn.fs.agorize.com/OrqLFTQ5icn6ZAEBsp1Q/convert?crop_first=true&fit=crop&h=140&w=300,"Ammar Aliyu muhammad","ABU-MUNIRAT AFRIC STITCHES offer fashion design services and product such as; Unisex wears, School uniforms, Marriage outfits, bedsheets and training of youths for sustainability.",Nigeria
"Accessible Education",https://cdn.fs.agorize.com/tOHM1wUQxyCmGaXzVISh/convert?crop_first=true&fit=crop&h=140&w=300,"Bright Uto","High-quality accessible and affordable platforms and technologies for the learning, development, and well-being of school children and adolescents with different learning and development needs.",Nigeria
"Achèo Koncept",https://cdn.fs.agorize.com/5J9Elq4WS5O3UWhb8paR/convert?crop_first=true&fit=crop&h=140&w=300,"Amanda Omiachi","We are into the production of leather Shoes, Mules, Slippers & Sandals.",Nigeria
"ACHO-TECH SOLAR MAKE Installer",https://cdn.fs.agorize.com/HsjELBLzSlaBXGiz8OGJ/convert?crop_first=true&fit=crop&h=140&w=300,"Acho Peter luper","This reduce fuel expenses and help the Oban and ruler ares supporting electrification from sun source of electrical Energy to all electrical used appliances both home, office, community/ industrial us",Nigeria
"Adding value to Nigerian econo",https://cdn.fs.agorize.com/HkXGxXKXSMqQ0Lz5w0pO/convert?crop_first=true&fit=crop&h=140&w=300,"Haruna Asoguni","Harry engineering product/services are the service provider of tractor maintenance & Rice farming.",Nigeria
"Aflatoxin-free food in Nigeria",https://cdn.fs.agorize.com/JqsDADwxR2iyI4MZgvow/convert?crop_first=true&fit=crop&h=140&w=300,"Asa Hazo","Aflatoxin is a silent threat to Agriculture, Health, and Trade in Nigeria and Africa. we produced aflatoxin free food to help reduce the risk of liver cancer passed by aflatoxin in Nigeria",Nigeria
"AFRIROOT VILLAGE POT",https://cdn.fs.agorize.com/qiDXZZImTnulySMGeOdV/convert?crop_first=true&fit=crop&h=140&w=300,"Oluwatosin Obaditan","AFRIROOT Village Pot Ltd prides itself as a viable agro-manufacturing brand whose clear leading edge is hinged on Organics. Our drink and, chips are currently in the market.",Nigeria
"AGENT BANKING BUSINESS",https://startupper.totalenergies.com/team-avatar-1.jpg,"Chukwudi Jennifer","This is a business or rather financial institution where by I stand as mini-bank as I render financial services to the public, sales of both digital (VTU) and paper cards, account opening, also REMITA",Nigeria
AGENT.NG,https://cdn.fs.agorize.com/N6rJ6KGATwCjQHM9B540/convert?crop_first=true&fit=crop&h=140&w=300,"Enyeneokpon Etim","AGENT.NG is a web and mobile Application that will help individual to manage their properties. (Real Estate Management App)",Nigeria
Agriculture,https://cdn.fs.agorize.com/blUx2GeGQ6QOET2HKXcJ/convert?crop_first=true&fit=crop&h=140&w=300,"Abdullaziz Ibrahim","Poultry farm production is a branch of livestock that present one of the finest opportunity for potential entrepreneur/investors to make a significant in a short period if well set up and manage.",Nigeria
Agriple,https://cdn.fs.agorize.com/mtqLec1XQWm2M6YMCqxs/convert?crop_first=true&fit=crop&h=140&w=300,"Vincent Okeke","Agriple delivers cheaper, fresher, and traceable farm produce to businesses where and when they need them for their business operations",Nigeria
Agrolinking,https://cdn.fs.agorize.com/6V0hghIiQw2anTc5Imk2/convert?crop_first=true&fit=crop&h=140&w=300,"Joseph Fashola","Agrolinking, is creating a data-driven digital ecosystem that enables smallholder farmers in Sub-Saharan Africa increase productivity and income by providing them with services and information",Nigeria
"Air Purifier/CO2 Refrigeration",https://startupper.totalenergies.com/team-avatar-6.jpg,"Taiwo Yussuf","TY-DAMI ENERGY RESOURCES is developing a carbon removal technology that captures CO2 from the atmosphere, the captured CO2 is then used as refrigerant in refrigeration systems.",Nigeria
"Akstrong Industries Limited",https://cdn.fs.agorize.com/LP28KBlQJODosD1tWDIR/convert?crop_first=true&fit=crop&h=140&w=300,"Akachukwu James","production of quality potable water with ultra modern equipment, tested and approved by our laboratory analysts, product presented in PET and sachet.",Nigeria
"Alisu Technology",https://cdn.fs.agorize.com/NEO9YagIRjmKgEqO6gix/convert?crop_first=true&fit=crop&h=140&w=300,"Jerry Nkwocha","Our product is called ""MyHospitul"". It is a Hospital Management and Collaboration software that digitizes, simplifies, and improves the administrative and operational processes in your hospital.",Nigeria
"Angba's farm",https://cdn.fs.agorize.com/jpQacHzsRHKpZ1x76g48/convert?crop_first=true&fit=crop&h=140&w=300,"Godwill Angba","My farm will produce birds for meat and eggs for production of other food and for commercial purpose.Which will help household and other eateries.",Nigeria
Aquaculture,https://cdn.fs.agorize.com/3GGD8RkGSbuJrdYeri92/convert?crop_first=true&fit=crop&h=140&w=300,"Elizabeth Onoja","We are into catfish production and processing.",Nigeria
"ARAH SIGNATURE",https://startupper.totalenergies.com/team-avatar-4.jpg,"Shammah Bankole","Arah Signature is a registered hair extensions service, established 14th March, 2020. ARAH offers trendy and uncommon hair extensions at affordable prices.",Nigeria
"Arone Energy",https://cdn.fs.agorize.com/nOLWdOOdRsuTHZB0hr12/convert?crop_first=true&fit=crop&h=140&w=300,"Emmanuel Ezenwere","Arone Energy developed and now mass produces the Powerhub, a device that provides sustainable & affordable electricity to 80M+ households and small businesses in Nigeria without access to electricity",Nigeria
"Aso oke weaving",https://cdn.fs.agorize.com/W4tMSRKaRxqFngrARPCp/convert?crop_first=true&fit=crop&h=140&w=300,"Ridwan Tajudeen","It's a process of turning metalic yarn and silk to different design of Aso oke of our choice",Nigeria
"A Sports Viewing Center",https://cdn.fs.agorize.com/WzTFGfN8TGSWAQHIEIO2/convert?crop_first=true&fit=crop&h=140&w=300,"Onyebuchi Daniel","We intend to become the most visited sports viewing center in the region where people get premium sports viewing experience while giving customers the best of delivery and style.",Nigeria
"Audacious Hair and Naturals",https://cdn.fs.agorize.com/0bM6k1aIShWgUzD4IFpr/convert?crop_first=true&fit=crop&h=140&w=300,"Shekinah Michael","Audacious hair and Naturals is an Online salon and Producers of Organic hair products.",Nigeria
"AUTOMATED HYDROPONIC SYSTEM",https://startupper.totalenergies.com/team-avatar-5.jpg,"Israel Smart","My product: A designed product that can grow fresh food anywhere. A Hydroponic farm system that uses cutting edge technology to improve efficiency. In hydroponics plants are cultivated without soil.",Nigeria
"Automating Patient Diagnosis",https://cdn.fs.agorize.com/vQKLw6aSZeL4DLsD70fU/convert?crop_first=true&fit=crop&h=140&w=300,"Osarenogae Ogieva","This service aims to make state-of-the-art application of Artificial Intelligence and Data Science to automate patient diagnosis and increase the efficiency of medical treatments.",Nigeria
"Barto Creatives",https://cdn.fs.agorize.com/bbSroVS8T02sAXlyTmi7/convert?crop_first=true&fit=crop&h=140&w=300,"Bartholomew Akuma","I'm a Wordpress website design expert. I can design, maintain, secure and redesign any kind of WordPress websites. My works have always been appreciated by all my clients.",Nigeria
"BDM streaming App",https://startupper.totalenergies.com/team-avatar-9.jpg,"Wisdom Moses","BDM Global Music Streaming Services Inc. is a start up Nigeria registered mobile app and internet based company that will leverage on streaming various genres of music online across Africa and beyond",Nigeria
"Beans mill",https://startupper.totalenergies.com/team-avatar-4.jpg,"Emmanuel Chukwu","The beans mill proposal is aimed at creating a beans mill that will help in the process of extraction of beans from it's coat. This innovation will reduce so many hinges faced by beans farmer daily",Nigeria
BeaverPlace,https://cdn.fs.agorize.com/jzLjnIigQfauOa3xvXEq/convert?crop_first=true&fit=crop&h=140&w=300,"Temitope Dada","BeaverPlace is a digital construction procurement tool that will help to build smartly and manage efficiently. It will reduce unemployment and human contact, enhance sustainability and transparency.",Nigeria
"Beracah foods",https://cdn.fs.agorize.com/V18GHBnlRNmZDjMl7H76/convert?crop_first=true&fit=crop&h=140&w=300,"Abigail Adedokun","Beracah foods is a small scale business that deals with the processing and packaging of agricultural produce like Rice, beans and other staple foods. We offer ready to cook products.",Nigeria
"Big Agri-Tech Africa",https://cdn.fs.agorize.com/ZcAPyrZSTkS542oLWTIu/convert?crop_first=true&fit=crop&h=140&w=300,"Obinna Madugba","BigA is a digital commerce platform that helps farmers earn more value for their products, tackle post-harvest loss due to waste, and provide last-mile logistics through our supply-chain network.",Nigeria
"Bkem foods",https://cdn.fs.agorize.com/7IqyWx2fT9KqXFMgsHYa/convert?crop_first=true&fit=crop&h=140&w=300,"Joy Badaki","B'kem foods is a production and processing company in Lagos Nigeria set to contribute to solving the problem of unhealthy feeding using organic food products from the farm such as plantain and snail.",Nigeria
"Blueflame Energy",https://cdn.fs.agorize.com/NZES3SSgSiSmKZYIRCTj/convert?crop_first=true&fit=crop&h=140&w=300,"Abdulbasit Bashir","We are making wood briquettes from farm waste such as rice husks, corn stalks etc as alternative fuel for domestic and industrial heating purpose to reduce felling of trees for fuel",Nigeria
"Boltech Technologies",https://cdn.fs.agorize.com/PaOgLAHCSjyCDFmF0Mba/convert?crop_first=true&fit=crop&h=140&w=300,"Isiaq Ibrahim","The need for software development has increased over the past few years. Boltech Technologies is committed to delivering the best software and networking service connecting over a long distance",Nigeria
BorgiOriginals,https://startupper.totalenergies.com/team-avatar-7.jpg,"Babatunde Alao","BORGIORIGINALS is a shoe brand that specializes in all kinds of shoes for men and women in Nigeria",Nigeria
"Bridge Merchant Enterprise",https://cdn.fs.agorize.com/9i2CLqLTLC9I6wq5uoBZ/convert?crop_first=true&fit=crop&h=140&w=300,"Chinwendu Nweke","Working to curb post-harvest wastage and create decent employment in the Agribusiness space by connecting farmers to the market, and mapping every farm in Africa.",Nigeria
BridgingSpace,https://cdn.fs.agorize.com/bOfKr1NS1O3oDkWFUz3n/convert?crop_first=true&fit=crop&h=140&w=300,"Edet Ekpenyong","BridgingSpace is an on-demand online platform where people gain access to therapy through messaging, audio and video call during and post COVID-19 pandemic.",Nigeria
"Broiler Processing",https://startupper.totalenergies.com/team-avatar-1.jpg,"Mariam Akuetiemhe arun","Organic/natural broiler rearing, processing and packaging.",Nigeria
"Building fish ponds",https://startupper.totalenergies.com/team-avatar-10.jpg,"Lama Godoz","The need for more ponds after 2 years of production is vital, at least four pond will be needed. Our present project looks at building more fish ponds to boost production.",Nigeria
"Building Soil health",https://cdn.fs.agorize.com/cssSwnJ2Q4iwbeOjNef5/convert?crop_first=true&fit=crop&h=140&w=300,"Kingsley Jackson","We are concerned with the business of improving, revamping and Sustaining of Arable farm soil for abundant an safe food production using regenerative method of waste material",Nigeria
"BUILD THE HOME",https://cdn.fs.agorize.com/hDAEalJVSPS31nq8ZGkD/convert?crop_first=true&fit=crop&h=140&w=300,"Umar Zakariyya","Serving the Community",Nigeria
